property,value,unit,energy,particle_or_photon,isotope,transition,process,source,source_url,retrieved_at,notes,abundance
mass_attenuation_coefficient,0.1486,cm²/g,0.1 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02047,cm²/g,0.1 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1336,cm²/g,0.15 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02424,cm²/g,0.15 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1224,cm²/g,0.2 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02647,cm²/g,0.2 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.1064,cm²/g,0.3 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02868,cm²/g,0.3 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_attenuation_coefficient,0.09535,cm²/g,0.4 MeV,fotón,natural,,atenuación total,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
mass_energy_absorption_coefficient,0.02951,cm²/g,0.4 MeV,fotón,natural,,absorción de energía,NIST X-Ray Mass Attenuation Coefficients,https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z02.html,2026-07-24T20:02:08+00:00,Tabla elemental NIST.,
