obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""1058.8336""","=""1058.8337""","=""0.0008""","=""200""","=""""","=""""","=""""","=""""",,"=""6.1237200""","=""7.2946707""","=""5p2.(3P).6s""","=""2P""","=""3/2""","=""5p2.(3P<2>).6p""","=""(2,3/2)*""","=""5/2""",4,6,,"=""""","=""L10083""",
"=""1068.0171""","=""1068.0171""","=""0.0008""","=""1000""","=""""","=""""","=""""","=""""",,"=""5.3622344""","=""6.5231165""","=""5p2.(3P).6s""","=""4P""","=""1/2""","=""5p2.(3P<0>).6p""","=""(0,3/2)*""","=""3/2""",2,4,,"=""""","=""L10083""",
"=""1074.4842""","=""1074.4841""","=""0.0008""","=""800""","=""""","=""""","=""""","=""""",,"=""5.6964962""","=""6.8503913""","=""5p2.(3P).6s""","=""4P""","=""3/2""","=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""5/2""",4,6,,"=""""","=""L10083""",
"=""1079.6954""","=""1079.6946""","=""0.0008""","=""80""","=""""","=""""","=""""","=""""",,"=""6.1237200""","=""7.2720466""","=""5p2.(3P).6s""","=""2P""","=""3/2""","=""5p2.(3P<2>).6p""","=""(2,3/2)*""","=""1/2""",4,2,,"=""""","=""L10083""",
"=""1084.2540""","=""1084.2540""","=""0.0008""","=""600""","=""""","=""""","=""""","=""""",,"=""5.9924568""","=""7.1359546""","=""5p2.(3P).6s""","=""4P""","=""5/2""","=""5p2.(3P<2>).6p""","=""(2,3/2)*""","=""7/2""",6,8,,"=""""","=""L10083""",
"=""1087.1481""","=""1087.1481""","=""0.0008""","=""200""","=""""","=""""","=""""","=""""",,"=""6.1237200""","=""7.2641737""","=""5p2.(3P).6s""","=""2P""","=""3/2""","=""5p2.(3P<2>).6p""","=""(2,3/2)*""","=""3/2""",4,4,,"=""""","=""L10083""",
"=""1088.2676""","=""1088.2678""","=""0.0008""","=""400""","=""""","=""""","=""""","=""""",,"=""5.6964962""","=""6.8357764""","=""5p2.(3P).6s""","=""4P""","=""3/2""","=""5p2.(3P<1>).6p""","=""(1,1/2)*""","=""3/2""",4,4,,"=""""","=""L10083""",
"=""1101.5743""","=""1101.5744""","=""0.0009""","=""300""","=""""","=""""","=""""","=""""",,"=""5.9924568""","=""7.1179750""","=""5p2.(3P).6s""","=""4P""","=""5/2""","=""5p2.(3P<2>).6p""","=""(2,1/2)*""","=""5/2""",6,6,,"=""""","=""L10083""",
"=""1108.2814""","=""1108.2814""","=""0.0009""","=""40w""","=""""","=""""","=""""","=""""",,"=""6.6260834""","=""7.7447902""","=""5p2.(3P).5d""","=""4P""","=""5/2""","=""5p2.(3P<0>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""""","=""L10083""",
"=""1108.8217""","=""1108.8218""","=""0.0009""","=""30w""","=""""","=""""","=""""","=""""",,"=""6.5231165""","=""7.6412782""","=""5p2.(3P<0>).6p""","=""(0,3/2)*""","=""3/2""","=""5p2.(3P).5d""","=""2D""","=""5/2""",4,6,,"=""""","=""L10083""",
"=""1110.7657""","=""1110.7655""","=""0.0009""","=""50w""","=""""","=""""","=""""","=""""",,"=""5.8261487""","=""6.9423536""","=""5p2.(3P).6s""","=""2P""","=""1/2""","=""5p2.(3P<1>).6p""","=""(1,3/2)*""","=""1/2""",2,2,,"=""""","=""L10083""",
"=""1111.1530""","=""1111.153""","=""0.003""","=""50w""","=""""","=""""","=""""","=""""",,"=""7.0085951""","=""8.1244108""","=""5p2.(3P).5d""","=""4F""","=""7/2""","=""5p2.(3P<1>).4f""","=""2[4]*""","=""9/2""",8,10,,"=""""","=""L10083""",
