Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Lande,Leading percentages,Reference
"=""5s2.5p4.(3P<2>).4f""","=""2[2]*""","=""3/2""",4,"=""""","=""77356.4812""","=""""","=""0.0021""","=""""","=""  89                                 :    10  5s2.5p4.(1D<2>).4f  2[2]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[2]*""","=""5/2""",6,"=""""","=""77359.4339""","=""""","=""0.0020""","=""""","=""  89                                 :    10  5s2.5p4.(1D<2>).4f  2[2]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[5]*""","=""11/2""",12,"=""""","=""77361.963""","=""""","=""0.004""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).4f  2[5]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[5]*""","=""9/2""",10,"=""""","=""77362.6361""","=""""","=""0.0030""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).4f  2[5]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",2,"=""""","=""77404.2088""","=""""","=""0.0021""","=""""","=""  90                                 :    10  5s2.5p4.(1D<2>).4f  2[1]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",4,"=""""","=""77406.6276""","=""""","=""0.0020""","=""""","=""  89                                 :    10  5s2.5p4.(1D<2>).4f  2[1]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).8s""","=""2[2]""","=""5/2""",6,"=""""","=""77450.5492""","=""""","=""0.0017""","=""1.563""","=""  85                                 :     9  5s2.5p4.(1D<2>).8s  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8s""","=""2[2]""","=""3/2""",4,"=""""","=""77555.6542""","=""""","=""0.0016""","=""1.35""","=""  87                                 :     9  5s2.5p4.(1D<2>).8s  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(1D<2>).6p""","=""2[1]*""","=""3/2""",4,"=""""","=""78415.0912""","=""""","=""0.0021""","=""1.39""","=""  54                                 :    32  5s2.5p4.(3P<2>).8p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(1D<2>).6p""","=""2[1]*""","=""1/2""",2,"=""""","=""79701.4352""","=""""","=""0.0020""","=""1.02""","=""  61                                 :    10  5s2.5p4.(3P<2>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<0>).7s""","=""2[0]""","=""1/2""",2,"=""""","=""78415.5080""","=""""","=""0.0018""","=""""","=""  67                                 :    12  5s2.5p4.(3P<2>).7d  2[0]  ""","=""L3674,u56"""
"=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""5/2""",6,"=""""","=""78592.4119""","=""""","=""0.0018""","=""""","=""  83                                 :    10  5s2.5p4.(3P<2>).6p  2[3]* ""","=""L3674,u56"""
"=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""7/2""",8,"=""""","=""79003.437""","=""""","=""0.003""","=""1.03""","=""  86                                 :    10  5s2.5p4.(3P<2>).6p  2[3]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[2]*""","=""5/2""",6,"=""""","=""78732.074""","=""""","=""0.003""","=""1.454""","=""  78                                 :    11  5s2.5p4.(3P<2>).8p  2[3]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[2]*""","=""3/2""",4,"=""""","=""78815.2628""","=""""","=""0.0025""","=""1.71""","=""  72  5s2.5p4.(3P<2>).8p 2[1]*       :    12  5s2.5p4.(3P<2>).8p  2[2]* ""","=""L13998,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[1]*""","=""1/2""",2,"=""""","=""78779.9156""","=""""","=""0.0024""","=""1.479""","=""  80                                 :     9  5s2.5p4.(1D<2>).8p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[1]*""","=""3/2""",4,"=""""","=""79224.4978""","=""""","=""0.0019""","=""1.30""","=""  45  5s2.5p4.(3P<2>).8p 2[2]*       :    21  5s2.5p4.(1D<2>).6p  2[1]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[3]*""","=""7/2""",8,"=""""","=""78844.149""","=""""","=""0.003""","=""""","=""  89                                 :    10  5s2.5p4.(1D<2>).8p  2[3]* ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).8p""","=""2[3]*""","=""5/2""",6,"=""""","=""78854.595""","=""""","=""0.003""","=""1.11""","=""  75                                 :    11  5s2.5p4.(3P<2>).8p  2[2]* ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[1]""","=""1/2""",2,"=""""","=""78889.3531""","=""""","=""0.0022""","=""""","=""  64                                 :    16  5s2.5p4.(3P<1>).7s  2[1]  ""","=""L3674,u56"""
"=""5s2.5p4.(3P<2>).7d""","=""2[1]""","=""3/2""",4,"=""""","=""79030.8318""","=""""","=""0.0018""","=""1.23""","=""  78  5s2.5p4.(3P<2>).7d 2[2]        :     8  5s2.5p4.(1D<2>).7d  2[2]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).7s""","=""2[1]""","=""3/2""",4,"=""""","=""78891.0285""","=""""","=""0.0018""","=""1.59""","=""  62                                 :    29  5s2.5p4.(3P<2>).7d  2[1]  ""","=""L3674,L368,u56"""
"=""5s2.5p4.(3P<1>).7s""","=""2[1]""","=""1/2""",2,"=""""","=""79285.1060""","=""""","=""0.0019""","=""""","=""  68  5s2.5p4.(3P<2>).7d 2[0]        :    12  5s2.5p4.(3P<0>).7s  2[0]  ""","=""L3674,u56"""
