obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""254.1219""","=""""","=""254.12209+""","=""110h""","=""""","=""""","=""""","=""""",,"=""1.4702664""","=""6.3491889""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""3""",7,7,,"=""""","=""L10250,L3475""",
"=""254.8989""","=""""","=""254.89888+""","=""330""","=""1.60e+07""","=""2.18e-02""","=""9.1e-01""","=""-0.96""",B,"=""1.3351030""","=""6.1991572""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4D).5p""","=""v 5P*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
"=""255.162""","=""""","=""255.1600+""","=""110h""","=""""","=""""","=""""","=""""",,"=""1.4702664""","=""6.329344?""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4D).5p""","=""v 5P*""","=""2""",7,5,,"=""""","=""L3475""",
"=""256.7818""","=""""","=""256.78185+""","=""250""","=""5.9e+07""","=""5.8e-02""","=""2.45e+00""","=""-0.54""",B,"=""1.3351030""","=""6.1634893""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
"=""257.3116""","=""""","=""257.31163+""","=""320""","=""""","=""""","=""""","=""""",,"=""1.5307436""","=""6.3491889""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""3""",9,7,,"=""""","=""L10250,L3475""",
"=""258.293""","=""""","=""258.29291+""","=""250""","=""""","=""""","=""""","=""""",,"=""1.3351030""","=""6.1352425""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""1""",5,3,,"=""""","=""L3475""",
"=""259.618""","=""""","=""259.61806+""","=""100""","=""""","=""""","=""""","=""""",,"=""1.3596041""","=""6.1352425""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""1""",1,3,,"=""""","=""L3475""",
"=""260.815""","=""""","=""260.81547+""","=""250""","=""""","=""""","=""""","=""""",,"=""1.3815291""","=""6.1352425""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""1""",3,3,,"=""""","=""L3475""",
"=""261.1981""","=""""","=""261.19814+""","=""190""","=""3.7e+07""","=""4.6e-02""","=""3.6e+00""","=""-0.38""",B,"=""1.5307436""","=""6.2774926""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(4G).5p""","=""w 3G*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
"=""261.3864""","=""""","=""261.38644+""","=""290""","=""8.5e+07""","=""8.7e-02""","=""3.7e+00""","=""-0.36""",B,"=""1.4201599""","=""6.1634893""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
"=""261.617""","=""""","=""261.61742+""","=""130""","=""""","=""""","=""""","=""""",,"=""1.3596041""","=""6.0987456""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""1""",1,3,,"=""""","=""L3475""",
"=""261.7567""","=""""","=""261.75672+""","=""400""","=""7.3e+07""","=""1.26e-01""","=""3.3e+00""","=""-0.42""",B,"=""1.3815291""","=""6.1181486""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
"=""262.1845""","=""""","=""262.18452+""","=""140""","=""1.16e+07""","=""1.20e-02""","=""7.2e-01""","=""-1.08""",B,"=""1.4702664""","=""6.1991572""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4D).5p""","=""v 5P*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
"=""262.833""","=""""","=""262.83339+""","=""320""","=""""","=""""","=""""","=""""",,"=""1.3815291""","=""6.0987456""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""1""",3,3,,"=""""","=""L3475""",
"=""262.952""","=""""","=""262.95234+""","=""160""","=""""","=""""","=""""","=""""",,"=""1.4201599""","=""6.1352425""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""1""",5,3,,"=""""","=""L3475""",
"=""262.9746""","=""""","=""262.97462+""","=""80""","=""2.8e+07""","=""2.9e-02""","=""7.6e-01""","=""-1.06""",B,"=""1.3815291""","=""6.0962123""","=""4d4.5s2""","=""a 5D""","=""1""","=""""","=""27*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
