obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""727.282""","=""727.2822""","=""35""","=""""","=""""","=""""","=""""",,"=""3.538843""","=""5.243603""","=""4d8.(3F).5p""","=""z 4G*""","=""9/2""","=""4d8.(3F).6s""","=""e 2F""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""727.394""","=""727.3970""","=""12""","=""""","=""""","=""""","=""""",,"=""1.998463""","=""3.702954""","=""4d7.5s2""","=""b 4F""","=""5/2""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""727.503""","=""727.5045""","=""5""","=""""","=""""","=""""","=""""",,"=""1.998715""","=""3.702954""","=""4d8.(1G).5s""","=""a 2G""","=""7/2""","=""4d8.(3F).5p""","=""z 4F*""","=""7/2""",8,8,,"=""""","=""L3475""",
"=""737.760""","=""737.7586""","=""9""","=""""","=""""","=""""","=""""",,"=""1.676352""","=""3.356904""","=""4d8.(1D).5s""","=""b 2D""","=""5/2""","=""4d8.(3F).5p""","=""z 4D*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""738.867""","=""738.8640""","=""5w""","=""""","=""""","=""""","=""""",,"=""4.001891""","=""5.679929""","=""4d8.(3F).5p""","=""z 4F*""","=""3/2""","=""4d8.(3F).6s""","=""e 4F""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""743.285""","=""743.2861""","=""9""","=""""","=""""","=""""","=""""",,"=""2.100726""","=""3.768781""","=""4d7.5s2""","=""b 4F""","=""3/2""","=""4d8.(3F).5p""","=""z 4D*""","=""3/2""",4,4,,"=""""","=""L3475""",
"=""744.444""","=""744.4426""","=""18w""","=""""","=""""","=""""","=""""",,"=""3.578139""","=""5.243603""","=""4d8.(3F).5p""","=""z 4D*""","=""5/2""","=""4d8.(3F).6s""","=""e 2F""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""744.882""","=""744.8834""","=""7""","=""""","=""""","=""""","=""""",,"=""3.973237""","=""5.637715""","=""4d8.(3F).5p""","=""z 2D*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""747.780""","=""747.7793""","=""12""","=""""","=""""","=""""","=""""",,"=""3.856126""","=""5.514158""","=""4d8.(3F).5p""","=""z 4G*""","=""7/2""","=""4d8.(3F).6s""","=""e 2F""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""749.730""","=""749.7280""","=""12""","=""""","=""""","=""""","=""""",,"=""3.538843""","=""5.192565""","=""4d8.(3F).5p""","=""z 4G*""","=""9/2""","=""4d8.(3F).6s""","=""e 4F""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""754.410""","=""754.4101""","=""8""","=""""","=""""","=""""","=""""",,"=""4.561066""","=""6.204525""","=""4d8.(3P).5p""","=""y 4D*""","=""7/2""","=""""","=""9""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""755.975""","=""755.9768""","=""11""","=""""","=""""","=""""","=""""",,"=""3.997662""","=""5.637715""","=""4d8.(3F).5p""","=""z 4G*""","=""5/2""","=""4d8.(3F).6s""","=""e 4F""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""757.931""","=""757.9312""","=""8""","=""""","=""""","=""""","=""""",,"=""4.001891""","=""5.637715""","=""4d8.(3F).5p""","=""z 4F*""","=""3/2""","=""4d8.(3F).6s""","=""e 4F""","=""5/2""",4,6,,"=""""","=""L3475""",
"=""769.217""","=""769.2201""","=""11""","=""""","=""""","=""""","=""""",,"=""3.902341""","=""5.514158""","=""4d8.(3F).5p""","=""z 4F*""","=""5/2""","=""4d8.(3F).6s""","=""e 2F""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""777.504""","=""777.5052""","=""18""","=""""","=""""","=""""","=""""",,"=""3.648962""","=""5.243603""","=""4d8.(3F).5p""","=""z 4F*""","=""9/2""","=""4d8.(3F).6s""","=""e 2F""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""779.375""","=""779.3783""","=""29""","=""""","=""""","=""""","=""""",,"=""3.919609""","=""5.510418""","=""4d8.(3F).5p""","=""z 2G*""","=""9/2""","=""4d8.(3F).6s""","=""e 4F""","=""7/2""",10,8,,"=""""","=""L3475""",
