obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""1010.8821""","=""0.0005""","=""1010.8821""","=""0.0007""","=""2000""","=""""","=""""","=""""","=""""",,"=""6.9203292""","=""8.1468243""","=""5p3.(4S*).5d""","=""5D*""","=""4""","=""5p3.(4S*).4f""","=""5F""","=""5""",9,11,,"=""""","=""L3682""",
"=""1012.0849""","=""0.0005""","=""1012.0850""","=""0.0007""","=""2500""","=""""","=""""","=""""","=""""",,"=""6.7799378""","=""8.0049752""","=""5p3.(2D*).6s""","=""3D*""","=""1""","=""5p3.(2D*).6p""","=""3F""","=""2""",3,5,,"=""""","=""L3682""",
"=""1015.3838""","=""0.0005""","=""1015.3840""","=""0.0007""","=""1800""","=""""","=""""","=""""","=""""",,"=""6.7198347""","=""7.9408920""","=""5p3.(4S*).6p""","=""5P""","=""2""","=""5p3.(4S*).6d""","=""5D*""","=""3""",5,7,,"=""""","=""L3682""",
"=""1030.3384""","=""0.0005""","=""1030.3382""","=""0.0008""","=""2400""","=""""","=""""","=""""","=""""",,"=""7.0475765""","=""8.2509115""","=""5p3.(2D*).6s""","=""3D*""","=""3""","=""5p3.(2D*).6p""","=""3D""","=""3""",7,7,,"=""""","=""L3682""",
"=""1032.5875""","=""0.0005""","=""1032.5875""","=""0.0008""","=""1100""","=""""","=""""","=""""","=""""",,"=""6.8042615""","=""8.0049752""","=""5p3.(2D*).6s""","=""3D*""","=""2""","=""5p3.(2D*).6p""","=""3F""","=""2""",5,5,,"=""""","=""L3682""",
"=""1049.6448""","=""0.0006""","=""1049.6448""","=""0.0008""","=""3200""","=""""","=""""","=""""","=""""",,"=""6.7615210""","=""7.9427225""","=""5p3.(4S*).6p""","=""5P""","=""3""","=""5p3.(4S*).6d""","=""5D*""","=""4""",7,9,,"=""""","=""L3682""",
"=""1051.2739""","=""0.0006""","=""1051.2740""","=""0.0008""","=""820""","=""""","=""""","=""""","=""""",,"=""6.7615210""","=""7.9408920""","=""5p3.(4S*).6p""","=""5P""","=""3""","=""5p3.(4S*).6d""","=""5D*""","=""3""",7,7,,"=""""","=""L3682""",
"=""1092.1328""","=""0.0006""","=""1092.1330""","=""0.0008""","=""3400""","=""""","=""""","=""""","=""""",,"=""5.7842023""","=""6.9194505""","=""5p3.(4S*).6s""","=""3S*""","=""1""","=""5p3.(4S*).6p""","=""3P""","=""0""",3,1,,"=""""","=""L3682""",
"=""1101.0816""","=""0.0006""","=""1101.0817""","=""0.0009""","=""760""","=""""","=""""","=""""","=""""",,"=""6.8632286""","=""7.9892504""","=""5p3.(4S*).6p""","=""3P""","=""1""","=""5p3.(4S*).6d""","=""3D*""","=""2""",3,5,,"=""""","=""L3682""",
"=""1109.2596""","=""0.0006""","=""1109.2599""","=""0.0009""","=""16000""","=""""","=""""","=""""","=""""",,"=""5.7842023""","=""6.9019224""","=""5p3.(4S*).6s""","=""3S*""","=""1""","=""5p3.(4S*).6p""","=""3P""","=""2""",3,5,,"=""""","=""L3682""",
