obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_23
"=""""","=""5122""","=""3""","=""""","=""1.30e+05""","=""5.10e-02""","=""1.72e+01""","=""-0.991""",A,"=""4.837313""","=""5.07937""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",2,2,,"=""T5118LS""","=""""",
"=""""","=""5122""","=""3""","=""""","=""2.59e+05""","=""5.10e-02""","=""3.44e+01""","=""-0.690""",A,"=""4.837313""","=""5.07937""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""5464.6""","=""0.4""","=""""","=""7.51e+05""","=""3.36e-01""","=""1.21e+02""","=""-0.17""",A,"=""4.521648""","=""4.748533""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",2,2,,"=""T5118LS""","=""""",
"=""""","=""5464.6""","=""0.4""","=""""","=""1.50e+06""","=""3.35e-01""","=""2.41e+02""","=""0.127""",A,"=""4.521648""","=""4.748533""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",4,2,,"=""T5118LS""","=""""",
"=""""","=""6861.1""","=""0.7""","=""""","=""7.760e+05""","=""5.476e-01""","=""2.474e+02""","=""0.0395""",AA,"=""4.340942""","=""4.521648""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""1/2""",2,2,,"=""T6620LS""","=""""",
"=""""","=""6861.1""","=""0.7""","=""""","=""7.760e+05""","=""1.095e+00""","=""4.948e+02""","=""0.3406""",AA,"=""4.340942""","=""4.521648""","=""1s2.4s""","=""2S""","=""1/2""","=""1s2.4p""","=""2P*""","=""3/2""",2,4,,"=""T6620LS""","=""""",
"=""""","=""7033.5""","=""0.7""","=""""","=""3.99e+05""","=""4.44e-01""","=""4.11e+02""","=""0.249""",A,"=""4.837313""","=""5.013589""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",4,6,,"=""T5118LS""","=""""",
"=""""","=""7033.6""","=""0.7""","=""""","=""6.64e+04""","=""4.92e-02""","=""4.56e+01""","=""-0.706""",A,"=""4.837313""","=""5.013587""","=""1s2.5p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",4,4,,"=""T5118LS""","=""""",
"=""""","=""7033.6""","=""0.7""","=""""","=""3.32e+05""","=""4.92e-01""","=""2.28e+02""","=""-0.007""",A,"=""4.837313""","=""5.013587""","=""1s2.5p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",2,4,,"=""T5118LS""","=""""",
"=""""","=""7244""","=""5""","=""""","=""1.80e+04""","=""1.42e-02""","=""1.35e+01""","=""-1.25""",A,"=""5.007826""","=""5.17898""","=""1s2.6p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",4,4,,"=""T5118LS""","=""""",
