obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_22
"=""500.113""","=""500.114+""","=""25""","=""""","=""""","=""""","=""""",,"=""4.031152""","=""6.510273""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""9/2""","=""5d7.6s.(5F).7s""","=""e 6F""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""500.414""","=""500.411+""","=""25""","=""""","=""""","=""""","=""""",,"=""0.784065""","=""3.261714""","=""5d7.6s2""","=""a 4F""","=""7/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""9/2""",8,10,,"=""""","=""L3475""",
"=""501.057""","=""501.055+""","=""17""","=""""","=""""","=""""","=""""",,"=""1.550507""","=""4.024971""","=""5d8.(3P).6s""","=""a 2P""","=""1/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""3/2""",2,4,,"=""""","=""L3475""",
"=""501.638""","=""501.640+""","=""30""","=""""","=""""","=""""","=""""",,"=""1.728315""","=""4.199894""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""504.747""","=""504.749+""","=""17""","=""""","=""""","=""""","=""""",,"=""4.349465""","=""6.805819""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""9/2""","=""""","=""5489""","=""9/2""",10,10,,"=""""","=""L3475""",
"=""512.509""","=""512.507+""","=""30""","=""""","=""""","=""""","=""""",,"=""1.605802""","=""4.024971""","=""5d8.(3P).6s""","=""a 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""517.939""","=""517.939+""","=""20""","=""""","=""""","=""""","=""""",,"=""1.996557""","=""4.390359""","=""5d7.6s2""","=""b 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""524.038""","=""524.038+""","=""22""","=""""","=""""","=""""","=""""",,"=""2.053842""","=""4.419781""","=""5d8.(3P).6s""","=""a 4P""","=""3/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""1/2""",4,2,,"=""""","=""L3475""",
"=""534.223""","=""534.223+""","=""12""","=""""","=""""","=""""","=""""",,"=""2.890116""","=""5.210949""","=""5d7.6s2""","=""b 2D""","=""5/2""","=""""","=""4202*""","=""3/2""",6,4,,"=""""","=""L3475""",
"=""536.581""","=""536.581+""","=""35""","=""1.2e+06""","=""4.2e-03""","=""9.e-01""","=""-1.3""",D,"=""2.429253""","=""4.739885""","=""5d7.6s2""","=""a 2H""","=""11/2""","=""""","=""3822*""","=""9/2""",12,10,,"=""T7959,T4422""","=""L3475""",
"=""545.101""","=""545.103+""","=""75""","=""""","=""""","=""""","=""""",,"=""4.070498""","=""6.345008""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""13/2""","=""5d7.6s.(5F).7s""","=""e 6F""","=""11/2""",14,12,,"=""""","=""L3475""",
"=""545.602""","=""545.601+""","=""30""","=""""","=""""","=""""","=""""",,"=""4.237839""","=""6.510273""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""11/2""","=""5d7.6s.(5F).7s""","=""e 6F""","=""9/2""",12,10,,"=""""","=""L3475""",
"=""547.092""","=""547.093+""","=""7""","=""""","=""""","=""""","=""""",,"=""2.429253""","=""4.695491""","=""5d7.6s2""","=""a 2H""","=""11/2""","=""5d7.6s.(5F).6p""","=""z 4F*""","=""9/2""",12,10,,"=""""","=""L3475""",
"=""562.160""","=""562.161+""","=""10""","=""""","=""""","=""""","=""""",,"=""4.651306""","=""6.856797""","=""5d7.6s.(5F).6p""","=""z 4D*""","=""7/2""","=""""","=""5530""","=""5/2""",8,6,,"=""""","=""L3475""",
"=""562.711""","=""562.711+""","=""45""","=""""","=""""","=""""","=""""",,"=""1.996557""","=""4.199894""","=""5d7.6s2""","=""b 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6F*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""583.017""","=""583.014+""","=""10""","=""""","=""""","=""""","=""""",,"=""4.739885""","=""6.866493""","=""""","=""3822*""","=""9/2""","=""""","=""5538""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""588.393""","=""588.392+""","=""10""","=""""","=""""","=""""","=""""",,"=""4.237839""","=""6.345008""","=""5d7.6s.(5F).6p""","=""z 6G*""","=""11/2""","=""5d7.6s.(5F).7s""","=""e 6F""","=""11/2""",12,12,,"=""""","=""L3475""",
"=""588.899""","=""588.899+""","=""7""","=""""","=""""","=""""","=""""",,"=""2.890116""","=""4.995471""","=""5d7.6s2""","=""b 2D""","=""5/2""","=""""","=""4029*""","=""7/2""",6,8,,"=""""","=""L3475""",
"=""589.569""","=""589.570+""","=""35""","=""""","=""""","=""""","=""""",,"=""1.996557""","=""4.099516""","=""5d7.6s2""","=""b 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""5/2""",6,6,,"=""""","=""L3475""",
"=""602.777""","=""602.778+""","=""7""","=""""","=""""","=""""","=""""",,"=""1.728315""","=""3.785195""","=""5d7.6s2""","=""a 2G""","=""9/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""7/2""",10,8,,"=""""","=""L3475""",
"=""606.951""","=""606.950+""","=""12""","=""""","=""""","=""""","=""""",,"=""4.951962""","=""6.994702""","=""""","=""3994*""","=""11/2""","=""""","=""5641""","=""9/2""",12,10,,"=""""","=""L3475""",
"=""611.236""","=""611.237+""","=""20""","=""""","=""""","=""""","=""""",,"=""1.996557""","=""4.024971""","=""5d7.6s2""","=""b 4P""","=""5/2""","=""5d7.6s.(5F).6p""","=""z 6D*""","=""3/2""",6,4,,"=""""","=""L3475""",
