obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,column_24
"=""994.251""","=""0.002""","=""994.250""","=""0.003""","=""5*""","=""1.26e+04""","=""1.33e-04""","=""3.05e-02""","=""-3.031""",B,"=""7.693683""","=""8.940695""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6f""","=""3F*""","=""2""",7,5,,"=""u28""","=""L483""",
"=""994.251""","=""0.002""","=""994.250""","=""0.003""","=""5*""","=""2.37e+06""","=""5.87e-02""","=""5.76e+00""","=""-0.755""",B,"=""7.6936830""","=""8.940695""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6f""","=""3F*""","=""2""",3,5,,"=""u28""","=""L483""",
"=""994.251""","=""0.002""","=""994.250""","=""0.003""","=""5*""","=""3.15e+05""","=""4.67e-03""","=""1.07e+00""","=""-1.49""",B,"=""7.693683""","=""8.940695""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6f""","=""3F*""","=""3""",7,7,,"=""u28""","=""L483""",
"=""994.251""","=""0.002""","=""994.25""","=""0.10""","=""5*""","=""""","=""""","=""""","=""""",,"=""7.693683""","=""8.94070""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6f""","=""3F*""","=""4""",7,9,,"=""""","=""L483""",
"=""1033.386""","=""0.002""","=""1033.386""","=""0.003""","=""5*""","=""1.05e+05""","=""1.68e-03""","=""1.71e-01""","=""-2.299""",B,"=""7.6936830""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""1""",3,3,,"=""u28""","=""L483""",
"=""1033.386""","=""0.002""","=""1033.386""","=""0.003""","=""5*""","=""4.19e+03""","=""1.12e-04""","=""1.14e-02""","=""-3.47""",B,"=""7.6936830""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""2""",3,5,,"=""u28""","=""L483""",
"=""1033.386""","=""0.002""","=""1033.387""","=""0.003""","=""5*""","=""6.28e+04""","=""1.01e-03""","=""1.71e-01""","=""-2.299""",B,"=""7.693683""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6p""","=""3P*""","=""2""",5,5,,"=""u28""","=""L483""",
"=""1033.386""","=""0.002""","=""1033.3869""","=""0.0021""","=""5*""","=""3.51e+05""","=""4.01e-03""","=""9.56e-01""","=""-1.551""",B,"=""7.693683""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.6p""","=""3P*""","=""2""",7,5,,"=""u28""","=""L483""",
"=""1033.386""","=""0.002""","=""1033.387""","=""0.003""","=""5*""","=""3.14e+05""","=""3.02e-03""","=""5.13e-01""","=""-1.822""",B,"=""7.693683""","=""8.893468""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.6p""","=""3P*""","=""1""",5,3,,"=""u28""","=""L483""",
"=""1033.386""","=""0.002""","=""1033.389""","=""0.005""","=""5*""","=""4.19e+05""","=""2.23e-03""","=""2.28e-01""","=""-2.174""",B,"=""7.6936830""","=""8.893466""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.6p""","=""3P*""","=""0""",3,1,,"=""u28""","=""L483""",
"=""""","=""""","=""1076.31""","=""0.06""","=""""","=""8.69e+04""","=""9.08e-04""","=""1.61e-01""","=""-2.343""",C,"=""7.98810393""","=""[9.14004]""","=""1s2.2s.3d""","=""1D""","=""2""","=""1s2.2s.9p""","=""1P*""","=""1""",5,3,,"=""u28""","=""""",
"=""""","=""""","=""1094.708""","=""0.008""","=""""","=""4.08e+06""","=""2.44e-02""","=""2.64e+00""","=""-1.135""",B,"=""7.4622919""","=""8.594870""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2s.5s""","=""1S""","=""0""",3,1,,"=""u28""","=""""",
"=""1106.909""","=""0.005""","=""1106.908""","=""0.006""","=""7*""","=""3.26e+06""","=""9.97e-02""","=""1.09e+01""","=""-0.52""",B,"=""7.303596""","=""8.423691""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.4d""","=""3D""","=""2""",3,5,,"=""u28""","=""""",
"=""1106.909""","=""0.005""","=""1106.910""","=""0.007""","=""7*""","=""2.41e+06""","=""1.33e-01""","=""4.84e+00""","=""-0.877""",B,"=""7.303596""","=""8.423689""","=""1s2.2s.3p""","=""3P*""","=""0""","=""1s2.2s.4d""","=""3D""","=""1""",1,3,,"=""u28""","=""L4743""",
"=""1106.909""","=""0.005""","=""1106.910""","=""0.007""","=""7*""","=""1.81e+06""","=""3.33e-02""","=""3.64e+00""","=""-1.000""",B,"=""7.303596""","=""8.423689""","=""1s2.2s.3p""","=""3P*""","=""1""","=""1s2.2s.4d""","=""3D""","=""1""",3,3,,"=""u28""","=""""",
"=""1106.949""","=""0.005""","=""1106.949""","=""0.005""","=""9*""","=""4.35e+06""","=""1.12e-01""","=""2.04e+01""","=""-0.252""",B,"=""7.303641""","=""8.423695""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.4d""","=""3D""","=""3""",5,7,,"=""u28""","=""L4743""",
"=""1106.949""","=""0.005""","=""1106.953""","=""0.006""","=""9*""","=""1.09e+06""","=""2.00e-02""","=""3.65e+00""","=""-0.999""",B,"=""7.303641""","=""8.423691""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.4d""","=""3D""","=""2""",5,5,,"=""u28""","=""L4743""",
"=""1106.949""","=""0.005""","=""1106.955""","=""0.007""","=""9*""","=""1.21e+05""","=""1.33e-03""","=""2.43e-01""","=""-2.176""",B,"=""7.303641""","=""8.423689""","=""1s2.2s.3p""","=""3P*""","=""2""","=""1s2.2s.4d""","=""3D""","=""1""",5,3,,"=""u28""","=""L4743""",
